DT	WEBCT_KODS	KOMP_KODS	USR	IP	APJ
16-SEP-2006	2DAT1021	CIT-F	363277	19778	60590
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	20116
16-SEP-2006	2DAT1021	CIT-F	363277	19778	17450
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	12709
16-SEP-2006	2DAT1021	CIT-F	363277	19778	12709
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	73730
16-SEP-2006	2DAT1021	GRAF-F	363277	19778	719228
16-SEP-2006	2DAT1021	CIT-F	363277	19778	19710
16-SEP-2006	2DAT1021	CIT-F	363277	19778	26099
16-SEP-2006	2DAT1021	CIT_K	363277	19778	244
16-SEP-2006	2DAT1021	CIT_K	363277	19778	2373
16-SEP-2006	2DAT1021	CIT-F	363277	19778	2373
